# --- 일반기계기사 ---
certificateName,url,description
# --- 병원행정사 ---
병원행정사,https://www.simsa.kr/02_notice/notice_01.php?md=view&no=352&page=1&refer=,병원행정사 일정
병원행정사,https://knowledgeseek.tistory.com/entry/%EB%B3%91%EC%9B%90%ED%96%89%EC%A0%95%EC%82%AC-%EC%8B%9C%ED%97%98-%EC%9D%BC%EC%A0%95-%EC%9D%91%EC%8B%9C%EC%9E%90%EA%B2%A9-%EB%B0%8F-%EC%8B%9C%ED%97%98-%EA%B3%BC%EB%AA%A9-%EA%B8%B0%EC%B6%9C%EB%AC%B8%EC%A0%9C-%EC%95%8C%EC%95%84%EB%B3%B4%EA%B8%B0#google_vignette,기출문제와 간단한 소개(티스토리 정보글)
병원행정사,https://blog.naver.com/ryuhyerim225/223683996091,응시요령(네이버 블로그 정리글)
# --- 작업치료사 ---
작업치료사,https://www.kuksiwon.or.kr/subcnt/c_2015/1/view.do?seq=7&itm_seq=13,작업치료사 일정(작년과 비슷한 시기에 시행될것으로 보임)
작업치료사,https://m.blog.naver.com/dada7577/222196242751,준비과정 및 후기 1
작업치료사,https://blog.naver.com/wns7766/222196111927,준비과정 및 후기 2
# --- 동물간호복지사 ---
동물간호복지사,https://vt-exam.or.kr/1018,일정은 곧 있으면 올라올 예정
동물간호복지사,https://blog.naver.com/panmuneducation/223837603217,기출문제에 대비한 정보들
동물간호복지사,https://pet.ggonstips.com/entry/%EB%8F%99%EB%AC%BC-%EA%B0%84%ED%98%B8-%EB%B3%B5%EC%A7%80%EC%82%AC%EB%8F%99%EB%AC%BC-%EB%B3%B4%EA%B1%B4%EC%82%AC-%ED%95%98%EB%8A%94-%EC%9D%BC%EA%B3%BC-%EC%9E%90%EA%B2%A9%EC%A6%9D-%EC%B7%A8%EB%93%9D-%EB%B0%A9%EB%B2%95,응시요령(티스토리 정보글)
# --- 응급구조사 ---
응급구조사,https://www.emt.or.kr/emrrsc/emrrsc_base/emrrsc_main/emt_nation_test2,일정은 곧 있으면 올라올 예정
응급구조사,https://blog.naver.com/jukim7202/223641448534,자격증 공부법
응급구조사,https://blog.naver.com/hsny0330/223684341691,필기 후기
# --- 화학분석기능사 ---
화학분석기능사,https://www.q-net.or.kr/crf005.do?id=crf00503&jmCd=6560,화학분석기능사 일정 및 소개
화학분석기능사,https://www.comcbt.com/xe/eo,필기 기출문제(2018년까지)
화학분석기능사,https://blog.naver.com/kuhminsa/223636939084,응시요령(네이버 블로그 정리글)
# --- 바이오화학제품제조기사 ---
바이오화학제품제조기사,https://www.q-net.or.kr/crf005.do?id=crf00503&jmCd=1800,바이오화학제품제조기사 일정 및 소개
바이오화학제품제조기사,https://www.comcbt.com/xe/ro,필기 기출문제(2022년까지)
바이오화학제품제조기사,https://m.blog.naver.com/zamong219/222879163244,응시요령(네이버 블로그 정리글)
# --- 화공기사 ---
화공기사,https://www.q-net.or.kr/crf005.do?id=crf00503&jmCd=1110,화공기사 일정 및 소개
화공기사,https://www.comcbt.com/xe/cev,필기 기출문제(2022년까지)
화공기사,https://m.blog.naver.com/qkrwlgus125/223486021703,실기 응시요령(네이버 블로그 정리글)
# --- 미용사(메이크업) ---
미용사(메이크업),https://updokorea.com/entry/2025%EB%85%84-%EB%AF%B8%EC%9A%A9%EC%82%AC-%EC%9E%90%EA%B2%A9%EC%A6%9D-%EC%9D%BC%EC%A0%95-%EB%B0%8F-%EC%A4%80%EB%B9%84-%EA%B0%80%EC%9D%B4%EB%93%9C,피부 미용사 일정 및 소개
미용사(메이크업),https://blog.naver.com/new52spring/223373992113,필기 공부법
미용사(메이크업),https://m.blog.naver.com/pso164/223291547463,실기 응시요령(네이버 블로그 정리글)
# --- 화장품제조관리사 ---
화장품제조관리사,https://license.korcham.net/co/examguide03.do?cd=0202&mm=34,화장품제조관리사 일정 및 소개
화장품제조관리사,https://hwagit-zzoo.tistory.com/category/%EB%A7%9E%EC%B6%A4%ED%98%95%ED%99%94%EC%9E%A5%ED%92%88%EC%A1%B0%EC%A0%9C%EA%B4%80%EB%A6%AC%EC%82%AC/%EC%98%88%EC%83%81%EA%B8%B0%EC%B6%9C%EB%AC%B8%EC%A0%9C,기출문제
화장품제조관리사,https://blog.naver.com/67bye/223155453792,응시요령(네이버 블로그 정리글)
# --- 사회복지사 1급 ---
사회복지사 1급,https://www.q-net.or.kr/crf005.do?id=crf00503&gSite=L&gId=52,사회복지사 일정(1번 있는 시험이라 올해는 끝났고 내년에 있을 예정)
사회복지사 1급,https://www.comcbt.com/xe/f1,필기 기출문제(2024년까지)
사회복지사 1급,https://blog.naver.com/wsj2687/223392141315,공부법(네이버 블로그 정리글)
# --- 재활운동전문가 ---
재활운동전문가,https://www.nscakorea.com/notice/?q=YToyOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjtzOjc6ImtleXdvcmQiO3M6Njoi7J287KCVIjt9&bmode=view&idx=137329608&t=board, 재활운동전문가 일정 및 소개
재활운동전문가,https://m.blog.naver.com/brainsports/222121822741,알아야 될 정보들(네이버 블로그 정리글)
재활운동전문가,https://kkumist.tistory.com/entry/NSCA-RES-%EC%9E%AC%ED%99%9C%EC%9A%B4%EB%8F%99%EC%A0%84%EB%AC%B8%EA%B0%80-%EC%8B%9C%ED%97%98-%ED%95%A9%EA%B2%A9-%ED%9B%84%EA%B8%B0,응시요령(티스토리 정보글)
# --- 반려동물종합관리사 ---
반려동물종합관리사,https://www.thekkf.or.kr/new_home/05_license/07.companion_animal.php,반려동물종합관리사 일정 및 소개
반려동물종합관리사,https://m.blog.naver.com/mjj9288/222485692776,기출문제(네이버 블로그 정리글)
반려동물종합관리사,https://blog.naver.com/hellstudy/223435532945,응시요령(네이버 블로그 정리글)
# --- 양식조리기능사 ---
양식조리기능사,https://www.invione.com/board/lic/158?ct=1509&search_type=B,양식조리기능사 일정 및 소개
양식조리기능사,https://www.comcbt.com/xe/webhaesul/2497646,필기 기출문제
양식조리기능사,https://blog.naver.com/dreaming__life/223307400865,실기 응시요령(네이버 블로그 정리글)
# --- 한식조리기능사 ---
한식조리기능사,https://www.invione.com/board/lic/157,한식조리기능사 일정 및 소개
한식조리기능사,https://www.comcbt.com/xe/ja,필기 기출문제(2017년까지)
한식조리기능사,https://m.blog.naver.com/ls_eun/222669328724,실기 응시요령(네이버 블로그 정리글)
# --- 바리스타(1급) ---
바리스타(1급),https://www.kca-coffee.org/cms/FrCon/index.do?MENU_ID=1220,바리스타(1급) 일정 및 소개
바리스타(1급),https://forest4682.tistory.com/118,필기 기출문제(티스토리 정보글)
바리스타(1급),https://m.blog.naver.com/ojung1129/222435252358,실기 응시요령(네이버 블로그 정리글)
# --- 제과기능사 ---
제과기능사,https://www.invione.com/board/lic/153,제과기능사 일정 및 소개
제과기능사,https://www.comcbt.com/xe/j7,필기 기출문제(2012년까지)
제과기능사,https://ryucorgi.tistory.com/6,실기 응시요령(티스토리 정보글)
# --- 관광통역안내사 ---
관광통역안내사,https://www.q-net.or.kr/crf005.do?id=crf00503&gSite=L&gId=37,관광통역안내사 일정 및 소개
관광통역안내사,https://www.comcbt.com/xe/cfu,필기 기출문제(2025년까지)
관광통역안내사,https://m.blog.naver.com/graandayay/222989993090,공부법(네이버 블로그 정리글)
# --- 호텔서비스사 ---
호텔서비스사,https://www.q-net.or.kr/crf005.do?id=crf00503&jmCd=9665,호텔서비스사 일정 및 소개
호텔서비스사,https://gukja.net/nexam21,필기 기출문제
호텔서비스사,https://blog.naver.com/be_yjself/222191180795,응시요령(네이버 블로그 정리글)
# --- JLPT ---
JLPT,https://www.japansisa.com/exam/exam_plan?cate=1,JLPT 일정 및 소개
JLPT,https://m.blog.naver.com/campfire0914/222372958634,기출문제 정리글
JLPT,https://m.blog.naver.com/kljk16/222481106145,응시요령(네이버 블로그 정리글)
# --- ERP정보관리사 ---
ERP정보관리사,https://license.kpc.or.kr/nasec/qlfint/qlfint/selectErpinfomg.do,ERP정보관리사 일정 및 소개
ERP정보관리사,https://license.kpc.or.kr/nasec/cmm/board/kpcBoard.do?bbsId=BBSMSTR_000000000107,기출문제 정리글
ERP정보관리사,https://m.blog.naver.com/surumi_/222897158891,응시요령(네이버 블로그 정리글)
# --- 전산회계 1급 ---
전산회계 1급,https://license.kacpta.or.kr/m/info/info_diary.aspx,전산회계 1급 일정 및 소개
전산회계 1급,https://www.comcbt.com/xe/h1,필기 기출문제(2025년까지)
전산회계 1급,https://blog.naver.com/gcmkty/223064535005,응시요령(네이버 블로그 정리글)
# --- CS Leaders(서비스경영자격) ---
CS Leaders(서비스경영자격),https://www.kie.or.kr/kiehomepage/fc/licenceSchedule?licence,CS Leaders(서비스경영자격) 일정
CS Leaders(서비스경영자격),https://kimyenny.tistory.com/entry/%EA%B8%B0%EC%B6%9C%EB%AC%B8%EC%A0%9CCS%EC%A0%84%EB%9E%B5%EB%A1%A01,기출문제
CS Leaders(서비스경영자격),https://m.blog.naver.com/78dydxo/223430829348,응시요령(네이버 블로그 정리글)
